country,log_type,category,measure,comment,date
Afghanistan,Introduction / extension of measures,Public health measures,Strengthening the public health system,"The Ministry of public health has created the special part of the control of the ""Corona"" virus in the Afghan-Japan hospital. This section has a hundred bed filled with all facilities.",2020-04-02
Afghanistan,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,"review list of equipment, medical requirements for health facilities and increase of supplies, the list of health staff and services of the Afghan-Japan hospital and the order list of the necessary items. ",2020-06-02
Afghanistan,Introduction / extension of measures,Public health measures,Awareness campaigns,the launch of education programs for doctors to handle COVID-19,2020-08-02
Afghanistan,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,Established specific areas for quarantine in Kabul and in the provinces for the control of COVID-19,2020-12-02
Afghanistan,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,Monitoring and surveillance increased at nationwide hospitals to improve the quality of health services,2020-02-13
Afghanistan,Introduction / extension of measures,Public health measures,Other public health measures enforced,"strengthen the screened teams in the air, borders and port, creating a joint committee to review the risk of transmitting coronavirus through iimported items ",2020-02-20
Afghanistan,Introduction / extension of measures,Public health measures,Strengthening the public health system,Prioritizing disinfecting of health centers and early-response needs. Provide more training for health care workers on how to keep themselves safe. ,2020-02-22
Afghanistan,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,Avoid domestic travel to the Herat province. ,2020-02-24
Afghanistan,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,State of emergency in Herat province. ,2020-02-24
Afghanistan,Introduction / extension of measures,Public health measures,Awareness campaigns,"Awareness campaign expands to include avoiding kissing, weddings, meetings, funerals, and other social luxuries. ",2020-02-24
Afghanistan,Introduction / extension of measures,Public health measures,General recommendations,"Those who have traveled to Iran in the last month, especially in the city, if they are having fever, cough and breath, soon visit one of the health centers or Call on 166 so that the health teams can help them.",2020-02-24
Afghanistan,Introduction / extension of measures,Movement restrictions,Border checks,"Increased the screened teams on the ground and air border, especially the provinces of the border with Iran to identify the people with this virus (Midday Province). ",2020-01-03
Afghanistan,Introduction / extension of measures,Public health measures,Strengthening the public health system,"Medical students are now allowed to practice, in order to build capacity ",2020-02-03
Afghanistan,Introduction / extension of measures,Public health measures,Strengthening the public health system,"The Ministry of Public Health has used 97 % of its budget which was 16 billion afghani. Creating 100 new health centers in needed places, increase 1600 bed in health centers, cover of 930 thousand children live in health centers. 50,000 diagnostic kits + 50,000 diagnostic kits from Arab Emirates ",2020-05-03
Afghanistan,Introduction / extension of measures,Public health measures,Other public health measures enforced,Sanitizing public spaces,2020-07-03
Afghanistan,Introduction / extension of measures,Public health measures,Awareness campaigns,New awareness campaign to “prevent the spread of coronavirus” ,2020-11-03
Afghanistan,Introduction / extension of measures,Social distancing,Schools closure,"School closures until ""the end of the month"" (Afghanistan uses the Solar Hijri calendar) ",2020-03-15
Afghanistan,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,"Installed new heat censor machines to detect fever at passengers coming through ports of entry into the country and ports into and out of Herat Province (the epicenter of the outbreak in Afghanistan, at this point in time). ",2020-03-19
Afghanistan,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,"If you have come back from the countries of Iran, China, Italy and South Korea within the last 2 weeks, or you have been in touch with people who have returned from these countries and have a fever, cough, loss and breath at this number. Please get in touch so that the health teams of the ministry of public health will help you too.",2020-03-19
Afghanistan,Introduction / extension of measures,Public health measures,Strengthening the public health system,Coronavirus diagnostic lab was opened in Herat Province,2020-03-19
Afghanistan,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,“Emergency state” announced but people are not cooperating in Herat ,2020-03-20
Afghanistan,Introduction / extension of measures,Public health measures,Strengthening the public health system,"In addition to the National Public Health Lab in Kabul, an additional lab in Herat began COVID-19 testing on March 22, and a lab in Mazar-e-Sharif is planned to begin operations soon.  Total testing capacity once the additional labs are operating is expected to be 150-250 tests per day.",2020-03-22
Afghanistan,Introduction / extension of measures,Social distancing,Limit public gatherings,People should avoid official and non-official protests (gatherings?) to prevent the spread of coronavirus. ,2020-03-22
Afghanistan,Introduction / extension of measures,Public health measures,Strengthening the public health system,Call for more health care workers to be employed by the government in the fight against covid-19  ,2020-03-25
Afghanistan,Introduction / extension of measures,Lockdown,Partial lockdown,"The Afghan Ministries of Public Health and Interior jointly announced that the city of Kabul would be placed on lockdown for 21 days due to spread of the COVID-19 coronavirus. Residents may only move outside their homes to obtain essential food and medicine; and provide caregiving. According to the government, vehicles carrying more than four passengers, as well as buses, are prohibited from traveling in and out of Kabul. ",2020-03-28
Afghanistan,Introduction / extension of measures,Public health measures,General recommendations,"U.S.A. is added to the list of countries that, if you’ve traveled there in the past 2 weeks, you could have the virus.",2020-03-28
Afghanistan,Introduction / extension of measures,Public health measures,General recommendations,"MoPH asks people not to come to health center for testing because it wastes resources and risks contracting the virus from an actual sick person at the facility. They ask those people who may have been in contact with this virus who have not seen symptoms to self-isolate for 14 days & contact provincial health teams if they have fever, cough, or problems breathing. ",2020-03-28
Afghanistan,Introduction / extension of measures,Public health measures,Strengthening the public health system,2nd diagnostic lab opened today ,2020-03-30
Afghanistan,Introduction / extension of measures,Public health measures,Strengthening the public health system,Supplies from China received today ,2020-02-04
Afghanistan,Introduction / extension of measures,Public health measures,Strengthening the public health system,Machines for health care were sent to Herat Province today ,2020-03-04
Afghanistan,Introduction / extension of measures,Public health measures,Strengthening the public health system,A COVID-19 lab is opened using Government of Afghanistan funds.  The hospital is expected to be completed on or about April 7.,2020-07-04
Afghanistan,Introduction / extension of measures,Social distancing,Changes in prison-related policies,Releases Hundreds of Prisoners to Limit Coronavirus Outbreaks,2020-03-31
Albania,Introduction / extension of measures,Movement restrictions,International flights suspension,Italy until 3rd April,2020-09-03
Albania,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,vehicle movement restrictions,2020-03-16
Albania,Introduction / extension of measures,Social distancing,Schools closure,"All schools are closed from March 10, 2020 until March 23, 2020",2020-10-03
Albania,Introduction / extension of measures,Social distancing,Limit public gatherings,Until 3rd April,2020-10-03
Albania,Introduction / extension of measures,Movement restrictions,Checkpoints within the country,People who have traveled to WHO high-risk regions for COVID-19 in the past 14 days,2020-10-03
Albania,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,All people entering the country for 15 days,2020-10-03
Albania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Stopped loan payments for 3 months (until 31.5.2020 as officially ordered on 17.3.2020) for all albanians ,2020-12-03
Albania,Introduction / extension of measures,Public health measures,Awareness campaigns,,2020-11-03
Albania,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,All suspected cases at Mother Teresa International Airport and the seaports of Vlore and Durres are evaluated onsite.,2020-03-19
Albania,Introduction / extension of measures,Public health measures,Strengthening the public health system,Train additional 3000 nurses and doctors to respond to COVID-19 and increased the number of medical personnel at all ports of entries,2020-03-19
Albania,Introduction / extension of measures,Public health measures,Strengthening the public health system,Create safe sanitary areas for non COVID-19 patients to be treated and Emergency/surgical interventions transferred to the University Trauma Hospital ,2020-03-20
Albania,Introduction / extension of measures,Movement restrictions,Border closure,"Land borders: Montenegro (March 16, 2020), Kosovo (March 14, 2020) ""except citizens of Kosovo and Albania"" and Macedonia (March 16, 2020)// ALL Borders: Greece (10p.m March 15, 2020)""except commercial trade""",2020-03-14
Albania,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,"emergency law ""normative act"" that can be approved by the government with immediate effect without the need for the prior approval of parliament which automatically executable fines for issues of non-complience. Decision No.243 of the Council of Ministers on the declaration of natural disaster situation  pursuant to Articles 100, 170, 174, para.1, and 175, para.2, of the Constitution. This provides the same terms and is regulated through the same constitutional provisions which govern “the state of emergency”. ",2020-03-22
Albania,Introduction / extension of measures,Movement restrictions,International flights suspension,All flights to and from Tirana airport will be suspended ** except Air Albania’s flights to and from Istanbul for humanitarian reasons.,2020-03-23
Albania,Introduction / extension of measures,Movement restrictions,Border closure,No ferries to and from Italy until april 3,2020-03-23
Albania,Introduction / extension of measures,Social distancing,Limit public gatherings,"1. Social, cultural or political gatherings, either in enclosed or open-air spaces, are banned and fined: 5 million lek (40,000 euros). 2. Television stations are banned from having more than two people on their talk shows in the same room and will be fined 1 million leks (8,300 euros) for any violations. 3. fines and three-year bans for car drivers if they breach restrictions on movement.",2020-03-22
Albania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Traders in food and medicines for unacceptable price rises and up to 10 million leks (83,000 euros) fines, if do not respect safety rules designed to combat infections",2020-03-22
Albania,Introduction / extension of measures,Public health measures,Strengthening the public health system,"Private hospitals that refuse to offer their capacities when required can be fined by up to 5 million leks (40,000 euros).",2020-03-22
Albania,Introduction / extension of measures,Public health measures,General recommendations,"The highest fines, up to 10 million leks (83,000 euros), can be imposed on entities that trade in food or medicine without respecting safety rules designed to combat infections.",2020-03-22
Albania,Introduction / extension of measures,Lockdown,Partial lockdown,"All restricitive measures (curfew, public service close, limit gatherings etc.) are now indefiitnely suspended until further notice",2020-02-04
Albania,Introduction / extension of measures,Movement restrictions,Curfews,"16-hour curfew. Individuals are only allowed to leave their homes from 05:00 to 13:00. All movement is prohibited outside of those windows, including both vehicular traffic and pedestrian movement. Exceptions are made for healthcare workers and for the transport of food items, supplies and medicine. Grocery stores and banks are only permitted to open from 05:00 to 13:00.",2020-03-23
Albania,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,"Private car traffic and interurban transport will be banned across eight cities: Durres, Elbasan, Fier, Lezha, Lushnje, Shkodra, Tirana and Vlor between 13 March 06.00 and 16 March 00.00. Roads connecting Tirana and Durres to other parts of the country will also be closed during this timeframe and public transportation closed between/within the two cities.",2020-03-23
Albania,Introduction / extension of measures,Movement restrictions,Curfews,"Modified (from original 16 hour curfew on 23/3/2020). Individuals are now only allowed to leave their homes on weekdays from 05.00 to 17.30 to visit grocery stores, pharmacies and banks. All movement is prohibited outside of those windows, including both vehicular traffic and pedestrian movement. *Exceptions are made for healthcare workers and for the transport of food items, supplies and medicine",2020-04-13
Albania,Introduction / extension of measures,Lockdown,Partial lockdown,"Modified (from original 16hour curfew on 23/3/2020) A full curfew is enforced on the weekends from 17.30 on Fridays to 05.00 on Mondays. *Exceptions are made for healthcare workers and for the transport of food items, supplies and medicine",2020-04-13
Albania,Introduction / extension of measures,Social distancing,Limit public gatherings,"only one person per household is allowed to go out to buy food or medicine at a time, for a maximum of 90 minutes; the ‘exit permit’ can be obtained by sending an SMS to 55155.",2020-03-30
Albania,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,authorities decreed that all restrictive measures are to remain in place until further notice.,2020-02-04
Albania,Introduction / extension of measures,Social distancing,Changes in prison-related policies,Free 600 Prisoners as Pandemic Precaution sent home on a special permit for about three months. target: convicted of lesser crimes and some who are elderly and suffering from chronic diseases that can make them vulnerable. released prisoners are being ordered to stay at home and will be prosecuted if they do not return to prison at the end of the pandemic. ,2020-03-24
Albania,Introduction / extension of measures,Social distancing,Changes in prison-related policies,"Albania’s penitentiary system has banned any visits to prisoners from family members. the deputy director of penitentiary institutions, said prisons had installed about 64 computers to allow prisoners to speak to their family members in video calls.",2020-03-23
Albania,Introduction / extension of measures,Public health measures,Strengthening the public health system,Order of the Minister responsible for health: Strengthening the preparation to protect against the penetration of the new Koronaviris due to preventing its spread in Albania,2020-01-24
Albania,Introduction / extension of measures,Public health measures,Strengthening the public health system,Order of the Minister responsible for health no. 53and 51/1:  1)setting up an interim committee to prevent CoronaVirus infection. 2) establishment of Task Forces to prevent the spread of CoronaVirus infection,2020-01-31
Albania,Introduction / extension of measures,Public health measures,Other public health measures enforced,Order of the Minister responsible for health no. 105: taking hygienic-sanitary measures to prevent the spread of respiratory infections including COVID 19 in preschool institutions kindergartens and educational institutions,2020-01-24
Albania,Introduction / extension of measures,Public health measures,Strengthening the public health system,Order of the Minister responsible for health no. 53/2: the establishment and operation of the quarantine service in designated environments,2020-02-26
Albania,Introduction / extension of measures,Governance and socio-economic measures,Limit product imports/exports,Order of the Minister responsible for health no. 13: stopping the export of medicines and medical equipment outisde of Albania ,2020-08-03
Albania,Introduction / extension of measures,Social distancing,Limit public gatherings,Order of the Minister responsible for health no. 133: restricting the movement of patients' companions or relatives in hospitals,2020-08-03
Albania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"The granting of the monthly reward, in the amount of 125,000 (one hundred and twenty five thousand) ALL, for the medical staff, public health specialists dealing with epidemiology, nurses and laboratory service specialists, engaged in the diagnosis and medical treatment of affected persons from COVID-19 infection. The granting of the monthly reward, in the amount of 65,000 (sixty-five thousand), ALL, for the support staff, engaged in the institutions where the persons affected by the infection caused by COVID-19 are treated.",2020-10-03
Albania,Introduction / extension of measures,Social distancing,Public services closure,"Decision of the High Judicial Council no. 127: 1) Suspension of activity and judicial services in all courts of the country, of general and special jurisdiction due to the situation caused by COVID19. 2) The activities and judicial services related to the case are excluded from the effects of this suspension.",2020-10-03
Albania,Introduction / extension of measures,Social distancing,Public services closure,Order of the Minister responsible for health no. 158: For the suspension of the functioning of the evaluation commissions of persons with disabilities and work invalids.,2020-04-15
Albania,Introduction / extension of measures,Governance and socio-economic measures,Military deployment,Decision of the Council of Ministers No. 211: For the commitment of the Armed Forces of the Republic of Albania to ensure the implementation of the massive preventive nodal epidemic caused by COVID - 19,2020-11-03
Albania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"VKM no. 236: provide housing assistance to the needy, in the context of the epidemic caused by COVID-19. ie. monthly payments, food and medicine",2020-03-19
Albania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"additional funds in the 2020 budget, approved for the Ministry of Health and Social Protection, to take measures to meet the preliminary needs for the spread of infection caused by COVID-2019",2020-03-21
Albania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"income tax amended: a) The accounting balance sheet, together with its annexes, as well as any other data specified in the instruction of the Minister responsible for finance, pursuant to this law, shall be submitted within 31 July 2020 b) For taxpayers with turnover up to 14,000,000 (fourteen million) ALL, the tax calculated on the basis of the annual taxable income declaration, reduced by the amounts determined under Article 37 of this Law, and by the prepayments made during tax period, paid by the taxpayer to the account of the tax authorities, within the second half of 2020. c) For taxpayers with turnover up to 14,000,000 (fourteen million) ALL, the profit and loss taxes of the first and second quarter of 2020, are prepaid in the account of the tax authorities, within 31 December 2020. Preliminary tax installments on the profit, of the third and fourth quarter of 2020, are prepaid in the account of the tax authorities, within 31 December 2020.",2020-03-26
Albania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"the local tax system is amended: Exceptionally, the provisions of article 15 of this law, the payments of the prepaid installments of the simplified profit tax are performed at the second level banks and the Albanian Post, sh.a., on behalf of the tax administration, for the first quarter and second of 2020 by October 20, 2020, while for the third and fourth quarters of 2020 by December 20, 2020.",2020-03-27
Albania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"ANTICOVID-19 fund will provide details and guidelines for use: 1. The antiCovid-19 fund, of 2,500 million ALL, is used by the Ministry of Health and Social Protection, according to the following details: a) In the amount of ALL 500 million, in the program “Secondary care services”, in the category of current expenses. b) In the amount of ALL 150 million, in the program “Public health services”, in the category of current expenditures. c) In the amount of 50 million ALL, in the program “National Emergency Service”, in the category of current expenses. ç) In the amount of ALL 800 million, in the program “Planning, management and administration”, in the category of current expenditures. d) In the amount of 1 000 million ALL, in the program ""Planning, management and administration"", in the category of capital expenditures. 2. The Ministry of Health and Social Protection and the Ministry of Finance and Economy are in charge of the implementation of this decision.",2020-03-27
Albania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"financial assistance is provided before employment in business entities with an annual income of up to 14 million ALL, economic assistance is paid in three incomes from employment during the period of three natural disasters. as a result of COVID-19",2020-03-27
Albania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"temporary monthly financial treatment of some officials and employees of the state administration, during the period of the epidemic situation caused by COVID-19",2020-03-30
Albania,Phase-out measure,Social distancing,Public services closure,"More than 600 business activities have restarted including farming, repair shops, mining, fishing, food and fish processing as well as other retailers.",2020-04-18
Albania,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,"Private car traffic and interurban transport will be banned across eight cities: Durres, Elbasan, Fier, Lezha, Lushnje, Shkodra, Tirana and Vlor. Roads connecting Tirana and Durres to other parts of the country are closed and public transportation is closed between/within the two cities. Vehicles will only be permitted if individuals obtain an authorisation from traffic police; only essential workers will be allowed to do so and drive only from 05.00 until 08.00 and from 16.00 until 17.30.",2020-03-13
Albania,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,The state of emergency extended until 23 June,2020-04-30
Albania,Introduction / extension of measures,Movement restrictions,Curfews,"Loosen weekday curfews to allow more time to shop for essential services, but tighten weekend lockdown. Individuals are only allowed to leave their homes from 05.00 to 17.30 during the week to visit grocery stores, pharmacies and banks. All movement is prohibited outside of those periods, including both vehicular traffic and pedestrian movement. On weekends, curfew is extended from Friday 17.30 until Monday 05.00. (LINK) Exceptions are made for healthcare workers and for the transport of food items, supplies and medicine. Only one person per household is allowed to go out to buy food or medicine at a time, for a maximum of 90 minutes; the ‘exit permit’ can be obtained by sending an SMS to 55155. The elderly and retirees are no longer permitted to go out.",2020-04-13
Albania,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,deploy drones to ensure lockdown measures,2020-04-13
Albania,Phase-out measure,Social distancing,Public services closure,Taxis will be allowed to travel between cities from 4 May.v,2020-04-05
Albania,Phase-out measure,Social distancing,Public services closure,"Shopping centres, hairdressers and dentists will reopen on  11 May.",2020-11-05
Albania,Phase-out measure,Movement restrictions,Domestic travel restrictions, people will be allowed to travel by car without a permit from 11 May,2020-11-05
Albania,Phase-out measure,Social distancing,Public services closure,"Bars and restaurants will open but serve only in their outdoor spaces, respecting social distancing until 17.30 (when the night curfew starts), from 19 May.",2020-05-19
Albania,Phase-out measure,Social distancing,Schools closure,High schools will open from 18 May until 5 June for graduating students. No more than 15 students per classroom.,2020-05-18
Algeria,Introduction / extension of measures,Public health measures,Awareness campaigns,,2020-05-03
Algeria,Introduction / extension of measures,Social distancing,Schools closure,until 5th April,2020-12-03
Algeria,Introduction / extension of measures,Movement restrictions,Border checks,Entry denied to people with symptoms,2020-12-03
Algeria,Introduction / extension of measures,Social distancing,Limit public gatherings,,2020-12-03
Algeria,Introduction / extension of measures,Social distancing,Public services closure,"Banned all types of gatherings (including all houses of worhsip) until April 5, 2020",2020-03-20
Algeria,Introduction / extension of measures,Movement restrictions,Border closure,All land borders.,2020-03-17
Algeria,Introduction / extension of measures,Movement restrictions,International flights suspension,"Suspension of all non-cargo international air and maritime travel. Suspension of all International commercial flights (March 20, 2020) Domestic flight suspension (March 22nd, 2020).",2020-03-20
Algeria,Introduction / extension of measures,Public health measures,Awareness campaigns,Programs to disinfect mass transit and public areas,2020-03-20
Algeria,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,Quarantining known confirmed COVID-19 cases within its borders,2020-03-18
Algeria,Introduction / extension of measures,Movement restrictions,Border closure,All neighboring land countries ,2020-03-17
Algeria,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,all domestic flights ,2020-03-22
Algeria,Introduction / extension of measures,Lockdown,Full lockdown,"Bilda (complete confinement - all movement in and out is prohibited) residents are to remain home for ten days, with few exceptions, all of which must be cleared by authorities. ",2020-03-23
Algeria,Introduction / extension of measures,Movement restrictions,Curfews,Algiers from 7 pm to 7 am.,2020-03-23
Algeria,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,All taxis banned countrywide. Rail and public or private/public transport between wilayas has been suspended as well as public transport within urban centers.,2020-03-23
Algeria,Introduction / extension of measures,Governance and socio-economic measures,Military deployment,Government implements lockdown and curfew in Blida and Algiers,2020-03-23
Algeria,Introduction / extension of measures,Movement restrictions,Curfews,"expanded to include provences: Algiers, Batna, Tizi Ouzou, Setif, Tipaza, Constantine, Medea Oran, El Oued, Boumerdes, Bejaia, Ain Defla, Mostaganem and Bordj Bou Arreridj from 7 pm to 7 am.",2020-03-27
Algeria,Introduction / extension of measures,Movement restrictions,International flights suspension,Extension on internal travel restrictions announced on 1 April will last from 22 March until 19 April,2020-01-04
Algeria,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,"Suspension of domestic flights, rail links and other types of public transport. All taxis banned countrywide. Rail and public or private/public transport between wilayas has been suspended as well as public transport within urban centres.",2020-01-04
Algeria,Introduction / extension of measures,Lockdown,Partial lockdown,all wilayas have implemented a partial lockdown until at least 19 April.,2020-05-04
Algeria,Introduction / extension of measures,Movement restrictions,Curfews,all wilayas have implemented a curfew from 19.00 to 07.00 (local time) until at least 19 April.,2020-05-04
Algeria,Introduction / extension of measures,Lockdown,Full lockdown,Blida extended until at least 19. april 2020,2020-01-04
Algeria,Introduction / extension of measures,Lockdown,Partial lockdown,"Ain Defla, Bejaia, Medea, Oran, Setif, Tipaza, Tizi Ouzou and Tlemcen provinces: Curfew has been extended from 15.00 to 07.00 until at least 19 April.",2020-05-04
Algeria,Introduction / extension of measures,Movement restrictions,International flights suspension,suspension extended until until at least 19. April ,2020-02-04
Algeria,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,"Extension on internal travel restrictions announced on 1 April will last from 22 March until 19 April, and will cover the suspension of domestic flights, rail links and other types of public transport. All taxis banned countrywide. Rail and public or private/public transport between wilayas has been suspended as well as public transport within urban centres.",2020-01-04
Algeria,Introduction / extension of measures,Social distancing,Public services closure,extended: non-essentials remain closed until further notice ,2020-01-04
Algeria,Introduction / extension of measures,Social distancing,Limit public gatherings,Extended: All public gatherings in Algeria suspended until further notice (including religious prayers and protests).,2020-01-04
Algeria,Introduction / extension of measures,Social distancing,Public services closure,Algiers cancelled all routine nonimmigrant and immigrant visa appointments. We will resume routine visa services as soon as possible but are unable to provide a specific date at this time. ,2020-03-16
Algeria,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,The Ministry of Religious affairs has issued a fatwa (rule) stating that hiding COVID-19 symptoms is against religion and that patients have a duty to inform the authorities. This may increase legal measures against those found to be non-compliant.,2020-04-24
Algeria,Phase-out measure,Lockdown,Partial lockdown,"Algerian authorities announce easing lockdown and restrictive measures in particular areas as from April 24. full lockdown which has been in place in Blida province since Monday, March 30, will be lifted and replaced with a nighttime curfew. The curfew will be observed from 14:00 to 07:00 (local time). Further, the nighttime curfew currently in place in the nine provinces of Algiers, Oran, Béjaïa, Sétif,  Tizi Ouzou, Tipaza, Tlemcen, Aïn Defla, and Médéa, has been shortened to run from 17:00 to 07:00. Reports indicate that the curfew observed in the other provinces of the country between 19:00 to 07:00 will remain place without change.",2020-04-24
Algeria,Introduction / extension of measures,Movement restrictions,Curfews,"Algerian authorities announced that nationwide curfew and lockdown measures, which were originally set to end on Sunday, April 19, will be extended through Wednesday, April 29",2020-04-18
Algeria,Introduction / extension of measures,Lockdown,Partial lockdown,resident Abdelmadjid Tebboune announced a partial lockdown for the capital Algiers amid the coronavirus (COVID-19) pandemic. ,2020-03-23
Algeria,Introduction / extension of measures,Movement restrictions,Checkpoints within the country,during lockdown in Bilda: checkpoints will be placed in the four corners of the Wilayat and no one may leave or enter Blida. ,2020-03-23
Algeria,Phase-out measure,Lockdown,Full lockdown,"Algeria has ended a full lockdown on the northern Blida province, the epicentre of the coronavirus pandemic in the country, and replaced it with a curfew during the holy month of Ramadhan. ",2020-04-24
Algeria,Introduction / extension of measures,Movement restrictions,Curfews,Blida province replaced lockdown with a curfew during the holy month of Ramadhan. Prime Minister Abdelaziz Djerad said the curfew will begin at 14:00 local time (13:00GMT) and end at 07:00 the next day.,2020-04-24
Algeria,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,"Internal travel restrictions have been reconducted on 27 April at least until 14 May. This includes the suspension of domestic flights, rail links and other types of public transport, with the exception of urban taxis",2020-04-27
Algeria,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,"urban taxis are allowed to resume operations on 25 April under strict sanitary rules including a maximum of two passengers per ride, compulsory wearing of masks for both driver and clients and ongoing vehicle and personal disinfection.",2020-04-25
Algeria,Introduction / extension of measures,Social distancing,Schools closure,On 28 April it was announced that all education facilities and courses are suspended until at least 14 May.,2020-04-28
Algeria,Phase-out measure,Social distancing,Public services closure,"A number of businesses have been allowed to reopen, including pastry shops, fashion stores, household items and home appliances stores, cosmetics stores, furniture as well as bookstores and hardware stores from 24 April.",2020-04-24
Algeria,Introduction / extension of measures,Social distancing,Public services closure,The majority of these businesses permitted to reopen on 24/4/2020 were closed again  11 provinces (from 3 May) due to members of the public and shop owners not adhering to social-distancing rules and other preventive measures as requested by the government.,2020-03-05
Angola,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,"China, South Korea, Iran, and Italy",2020-03-03
Angola,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,any nationality who presents with symptoms or who has traveled to China since the start of the outbreak,2020-03-03
Angola,Introduction / extension of measures,Public health measures,Awareness campaigns,"The National Molecular Biology Laboratory, installed in Luanda, more than three years ago, was authorized by the World Health Organization (WHO) to carry out tests on the new Coronavirus (Covid-19)",2020-11-03
Angola,Introduction / extension of measures,Movement restrictions,International flights suspension,"All international flights to and from Angola will be suspended as of Friday, March 20",2020-03-20
Angola,Introduction / extension of measures,Movement restrictions,Visa restrictions,"individuals who have transited through China, Hong Kong, Macao, South Korea, Iran, and Italy, will be prohibited from entering the country due to the ongoing coronavirus (COVID-19) outbreak.",2020-04-03
Angola,Introduction / extension of measures,Movement restrictions,Visa restrictions,"Authorities are temporarily banning citizens of China, South Korea, Italy, Iran, Nigeria, Egypt, and Algeria from entering Angola who have travelled directly from those countries; the restriction does not apply to those traveling via a third country.",2020-01-03
Angola,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,the Angolan Ministry of Health announced that all travelers arriving from China will be placed under home quarantine,2020-06-02
